Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Kosovo,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,,
Kuwait,1230.7,1214.1,979.555,1242.9,1414.9,1650.8,1723.4,1612.88,1738.54,1348.25,1490.931,1816.11,2070,2058.46,1994.84,1963.81,1859.305,1733.813,1837.918,,
Kyrgyzstan,0,0,0,0,0,0,0,0.039,0.041,1.054,0.121,0.061,0.034,0.042,0.049,0.135,0.137,0.393,1.375,,
Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Liberia,2.664,2.926,3.327,1.499,2.316,2.249,10.123,1.598,8.923,7.905,4.418,1.664,2.359,1.18,0,0,0,0,0,,
Libya,986.968,962.556,961.55,1083.527,1221.065,1321.3,1374.304,1441.679,1428.969,1290.062,1260.663,296.186,1195.56,629.68,357.577,270.191,392.469,841.083,1067.387,,
Lithuania,6.22,7.02,2.48,5.76,3.86,2.96,2.3,3.1,2.58,2.26,2.22,1.6,1.58,1.34,1.26,1.01,1.05,0.848,0.909,0.757,0.741
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Malaysia,350.541,375.773,377.483,397.641,380.418,376.481,352.586,338.086,310.684,344.128,347.911,243.636,247.038,229.949,248.728,333.698,335.198,302.768,303.647,,
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Mauritania,0,0,0,0,0,0,24.606,13.648,13.48,11.329,9.921,5.58,7.088,6.742,5.96,5.308,4.836,4.836,4.836,,
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Mexico,1844.735,1872.586,1955.776,2114.12,2117.969,2021.419,2001.692,1808.194,1505.312,1311.739,1445.974,1420.714,1332.661,1270.305,1207.933,1210.134,1277.07,1264.147,1283.309,1150.781,1191.586
Micronesia,,,,,,,,,,,,,,,,,,NA,NA,,NA
Moldova,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Mongolia,0.18,0.2,0.38,0.5,0.6,0.54,0.92,2.22,2.9,5.32,5.68,7,9.78,14.36,18.86,22.28,21.9,20.58,14.65,,
Montenegro,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Mozambique,0,0,0,0,0.26,0.42,0.5,0.5,0.56,0.54,0.6,0.62,0.7,0.98,1.18,0,0,0,0,,
Namibia,0,0,0.001,0,0.001,0.001,0.002,0.003,0.007,0.006,0.01,0.032,0.038,0.002,0.001,0,0,0,0,,
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Netherlands,6.504,8.319,18.516,25.987,23.238,20.293,13.145,17.688,18.908,13.508,11.55,7.632,10.189,10.984,12.398,5.896,6.583,8.884,8.763,7.634,7.65
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
New Zealand,24.506,25.603,22.07,18.132,14.539,12.559,13.629,32.468,51.207,45.936,47.289,41.11,35.501,29.561,33.902,34.75,30.348,27.037,21.605,21.602,17.924
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Niger,22.915,7.693,3.184,3.098,3.011,0.645,4.184,2.51,0.836,0,0,0,1.007,0,0,0,0,0,0,,
Nigeria,2086.055,2069.603,1797.339,2158.539,2368.81,2299.661,2211.852,2152.1,1961.286,2071.456,2321.521,2222.301,2287.508,2027.859,2120.096,2114.219,1847.376,1906.074,1889.062,,
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
North Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,NA,NA,,NA
Norway,2894.92,2978.651,2821.721,2681.004,2504.652,2257.865,2019.885,1989.113,1838.453,1775.746,1599.956,1454.717,1314.035,1225.681,1293.728,1311.315,1398.362,1354.384,1242.501,1253.6,1493.658
Oman,890.499,870.597,838.859,763.028,720.914,724.133,655.547,608.209,598.152,663.155,730.57,742.084,768.417,838.167,804.25,832.015,879.508,806.027,778.989,,
Pakistan,7.13,8.696,4.82,2.209,0.821,0,0,0,0,0,0,0,0,1.346,9.519,6.185,3.893,7.87,7.788,,
Palestinian Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.255,55.76,60.319,,
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Peru,13.663,18.779,21.519,29.011,16.728,12.952,23.956,27.508,18.129,19.164,19.002,16.343,15.673,14.739,15.571,7.999,2.327,1.583,6.514,,
Philippines,0.488,0.848,9.187,13.428,12.176,15.406,14.154,15.891,16.739,20.192,18.799,18.758,15.124,13.872,17.668,15.588,14.57,13.013,12.414,,
Poland,2.598,8.884,10.035,3.251,2.779,4.361,5.694,5.815,4.974,4.563,4.26,5.896,4.249,8.137,8.481,5.129,4.523,4.442,5.977,4.938,3.965
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Qatar,605.519,608.893,562.184,582.92,692.515,685.371,679.065,669.574,734.223,635.59,624.084,627.483,625.735,610.441,613.104,545.708,1214.544,1163.804,1264.4,,
Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Romania,0.385,0.398,0.642,0.886,1.254,1.622,1.521,0.974,1.203,1.021,0.978,0.937,0.974,1.203,1.021,0.978,1.881,2,1.439,,
Russia,2986.067,3276.258,3837.251,4565.688,5190.849,5094.81,5037.376,5178.935,4843.359,4997.259,4990.569,4942.769,4759.196,4700.276,4499.658,4937.314,5079.908,5040.462,5195.987,,
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Saint Vincent/Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Saudi Arabia,6248.538,6036.997,5362.693,6449.33,6897.773,7298.067,7060.891,6908.886,7104.545,5976.539,5979.241,7076.527,7396.81,7553.337,7119.58,7241.955,7599.336,7120.41,7340.811,,
Senegal,2.024,1.521,2.059,3.54,2.793,4.805,2.245,3.58,2.778,1.977,0.991,0.005,0.019,1.21,0.42,0.367,0,0,0,,
Serbia,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0.183,0.128,0.183,,
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Singapore,0.502,0.121,2.377,1.199,0.02,3.343,3.846,1.893,6.786,11.679,9.464,6.425,7.371,8.351,11.538,14.881,14.68,15.4,12.97,,
Slovakia,0.302,0.343,0.283,0.343,2.175,0.666,0.565,0.444,0.946,0.303,0.262,0.303,0.242,0.202,0.182,0.202,0.182,1.131,0.101,0.056,0
Slovenia,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
South Africa,8.057,5.382,2.129,0.68,0.996,0.217,9.76,6.121,2.602,5.359,3.334,6.041,3.8,0.505,3.293,5.531,9.021,9.046,9.046,,
South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,--,--,--,--,--,--,--,--,--,--,--,--,31,98.76,154.98,147.26,152,116.42,126.52,,
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sudan,132.44,153.94,178.92,206.22,234.86,235.72,251.4,374.04,367.82,370.7,362.3,362.9,45.18,53.142,55.059,38.687,6.841,6.3,12.86,,
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sweden,0,0,0,0,0,0,0,0.666,0,0,0,0.666,0.584,0,0,0,0,14.571,0,5.081,1.001
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,332.133,393.872,488.037,358.347,227.971,204.818,162.103,153.388,156.814,144.029,163.429,107.078,3.308,2.285,1.261,0,0,0,0,,
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tajikistan,0.065,0.06,0.114,0.073,0.08,0.102,0.121,0.06,0.04,0.08,0.08,0,0,0.08,0.068,0.068,0,0,0,,
Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Thailand,30.161,36.69,48.9,60.809,56.617,65.769,66.673,49.964,47.825,42.976,29.541,32.533,41.096,27.292,11.124,2.302,30.879,32.687,28.621,,
The Bahamas,0.982,0.316,2.604,4.893,0.796,0,0,0,1.521,0,0.039,2.533,5.026,4.441,5.947,3.658,0,0,0,,
Timor-Leste,--,--,--,0,1.925,3.051,0.101,0.079,0.1,0.096,0.702,0.759,12.838,12.457,1.149,13.476,49.24,40.32,32.907,,
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Trinidad and Tobago,52.431,48.493,68.356,70.296,58.987,72.488,72.022,59.375,53.944,53.575,45.312,38.581,30.783,34.159,32.607,31.016,28.045,27.326,22.067,,
Tunisia,60.356,55.266,58.379,49.362,54.715,56.993,53.941,78.3,71.417,66.793,73.782,53.78,51.911,43.819,44.201,36.108,38.627,35.46,29.449,,
Turkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,32.044,45.185,56.431,59.644,60.082,50.406,30.123,38.156,48.066,40.164,26.107,46.189,62.085,72.296,64.263,69.284,48.596,66.807,59.93,,
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tuvalu,,,,,,,,,,,,,,,,,,NA,NA,,NA
U.S. Pacific Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
U.S. Territories,,,,,,,,,,,,,,,,,,,,,
U.S. Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ukraine,6.105,1.66,8.37,25.186,8.54,5.825,6.632,9.16,5.375,1.378,1.102,0.007,1.167,0.35,0.826,0.16,0.451,1.631,0.747,,
United Arab Emirates,1848.731,1791.808,1632.251,1893.554,2042.171,2161.933,2351.624,2358.178,2405.436,2050.954,2107.675,2487.168,2570.994,2654.238,2651.192,2593.12,2457.249,2427.648,2427.162,,
United Kingdom,1742.481,1633.656,1639.532,1389.659,1222.776,986.954,907.075,911.235,835.75,796.485,746.813,571.145,574.598,613.346,569.469,606.844,618.898,691.851,818.151,854.342,720.403
United States,50,20,9,12,27,32,25,27,29,44,42,47,67,134,351,465,591,1157.584,2048.055,2981.768,3175.309
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Venezuela,2003.5,1942.181,1792.554,1646.852,1836,2243.9,2021.473,1835.022,1840.637,1697.004,1729.786,1785.234,1740.875,1856.555,1728.84,1872.431,1644.857,1509.858,1002.677,,
Vietnam,308.891,336.015,338.907,349.691,390.553,360.817,330.191,302.478,275.422,268.559,162.103,165.477,189.418,172.064,186.885,185.198,132.505,132.053,66.88,,
Wake Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Yemen,353.042,335.051,337.943,323.845,294.121,284.745,243.999,224.097,195.687,184.776,176.181,136.338,117.781,99.608,84.091,36.143,0,0,0,,
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,